Name,Type ,HP,Attack,Defense,Speed
Bulbasaur,Grass,45,49,49,45
Ivysaur,Grass,60,62,63,60
Venusaur,Grass,80,82,83,80
Charmander,Fire,39,52,43,65
Charmeleon,Fire,58,64,58,80
Charizard,Fire,78,84,78,100
Squirtle,Water,44,48,65,43
Wartortle,Water,59,63,80,58
Blastoise,Water,79,83,100,78
Caterpie,Bug,45,30,35,45
Metapod,Bug,50,20,55,30
Butterfree,Bug,60,45,50,70
Weedle,Bug,40,35,30,50
Kakuna,Bug,45,25,50,35
Beedrill,Bug,65,90,40,75
Pidgey,Normal,40,45,40,56
Pidgeotto,Normal,63,60,55,71
Pidgeot,Normal,83,80,75,101
Rattata,Normal,30,56,35,72
Raticate,Normal,55,81,60,97
Spearow,Normal,40,60,30,70
Fearow,Normal,65,90,65,100
Ekans,Poison,35,60,44,55
Arbok,Poison,60,85,69,80
Pikachu,Electric,35,55,40,90
Raichu,Electric,60,90,55,110
Sandshrew,Ground,50,75,85,40
Sandslash,Ground,75,100,110,65
Nidorina,Poison,70,62,67,56
Nidoqueen,Poison,90,92,87,76
Nidorino,Poison,61,72,57,65
Nidoking,Poison,81,102,77,85
Clefairy,Fairy,70,45,48,35
Clefable,Fairy,95,70,73,60
Vulpix,Fire,38,41,40,65
Ninetales,Fire,73,76,75,100
Jigglypuff,Normal,115,45,20,20
Wigglytuff,Normal,140,70,45,45
Zubat,Poison,40,45,35,55
Golbat,Poison,75,80,70,90
Oddish,Grass,45,50,55,30
Gloom,Grass,60,65,70,40
Vileplume,Grass,75,80,85,50
Paras,Bug,35,70,55,25
Parasect,Bug,60,95,80,30
Venonat,Bug,60,55,50,45
Venomoth,Bug,70,65,60,90
Diglett,Ground,10,55,25,95
Dugtrio,Ground,35,80,50,120
Meowth,Normal,40,45,35,90
Persian,Normal,65,70,60,115
Psyduck,Water,50,52,48,55
Golduck,Water,80,82,78,85
Mankey,Fighting,40,80,35,70
Primeape,Fighting,65,105,60,95
Growlithe,Fire,55,70,45,60
Arcanine,Fire,90,110,80,95
Poliwag,Water,40,50,40,90
Poliwhirl,Water,65,65,65,90
Poliwrath,Water,90,95,95,70
Abra,Psychic,25,20,15,90
Kadabra,Psychic,40,35,30,105
Alakazam,Psychic,55,50,45,120
Machop,Fighting,70,80,50,35
Machoke,Fighting,80,100,70,45
Machamp,Fighting,90,130,80,55
Bellsprout,Grass,50,75,35,40
Weepinbell,Grass,65,90,50,55
Victreebel,Grass,80,105,65,70
Tentacool,Water,40,40,35,70
Tentacruel,Water,80,70,65,100
Geodude,Rock,40,80,100,20
Graveler,Rock,55,95,115,35
Golem,Rock,80,120,130,45
Ponyta,Fire,50,85,55,90
Rapidash,Fire,65,100,70,105
Slowpoke,Water,90,65,65,15
Slowbro,Water,95,75,110,30
Magnemite,Electric,25,35,70,45
Magneton,Electric,50,60,95,70
Farfetch'd,Normal,52,65,55,60
Doduo,Normal,35,85,45,75
Dodrio,Normal,60,110,70,100
Seel,Water,65,45,55,45
Dewgong,Water,90,70,80,70
Grimer,Poison,80,80,50,25
Muk,Poison,105,105,75,50
Shellder,Water,30,65,100,40
Cloyster,Water,50,95,180,70
Gastly,Ghost,30,35,30,80
Haunter,Ghost,45,50,45,95
Gengar,Ghost,60,65,60,110
Onix,Rock,35,45,160,70
Drowzee,Psychic,60,48,45,42
Hypno,Psychic,85,73,70,67
Krabby,Water,30,105,90,50
Kingler,Water,55,130,115,75
Voltorb,Electric,40,30,50,100
Electrode,Electric,60,50,70,140
Exeggcute,Grass,60,40,80,40
Exeggutor,Grass,95,95,85,55
Cubone,Ground,50,50,95,35
Marowak,Ground,60,80,110,45
Hitmonlee,Fighting,50,120,53,87
Hitmonchan,Fighting,50,105,79,76
Lickitung,Normal,90,55,75,30
Koffing,Poison,40,65,95,35
Weezing,Poison,65,90,120,60
Rhyhorn,Ground,80,85,95,25
Rhydon,Ground,105,130,120,40
Chansey,Normal,250,5,5,50
Tangela,Grass,65,55,115,60
Kangaskhan,Normal,105,95,80,90
Horsea,Water,30,40,70,60
Seadra,Water,55,65,95,85
Goldeen,Water,45,67,60,63
Seaking,Water,80,92,65,68
Staryu,Water,30,45,55,85
Starmie,Water,60,75,85,115
Mr. Mime,Psychic,40,45,65,90
Scyther,Bug,70,110,80,105
Jynx,Ice,65,50,35,95
Electabuzz,Electric,65,83,57,105
Magmar,Fire,65,95,57,93
Pinsir,Bug,65,125,100,85
Tauros,Normal,75,100,95,110
Magikarp,Water,20,10,55,80
Gyarados,Water,95,125,79,81
Lapras,Water,130,85,80,60
Ditto,Normal,48,48,48,48
Eevee,Normal,55,55,50,55
Vaporeon,Water,130,65,60,65
Jolteon,Electric,65,65,60,130
Flareon,Fire,65,130,60,65
Porygon,Normal,65,60,70,40
Omanyte,Rock,35,40,100,35
Omastar,Rock,70,60,125,55
Kabuto,Rock,30,80,90,55
Kabutops,Rock,60,115,105,80
Aerodactyl,Rock,80,105,65,130
Snorlax,Normal,160,110,65,30
Articuno,Ice,90,85,100,85
Zapdos,Electric,90,90,85,100
Moltres,Fire,90,100,90,90
Dratini,Dragon,41,64,45,50
Dragonair,Dragon,61,84,65,70
Dragonite,Dragon,91,134,95,80
Mewtwo,Psychic,106,110,90,130
Mew,Psychic,100,100,100,100
Chikorita,Grass,45,49,65,45
Bayleef,Grass,60,62,80,60
Meganium,Grass,80,82,100,80
Cyndaquil,Fire,39,52,43,65
Quilava,Fire,58,64,58,80
Typhlosion,Fire,78,84,78,100
Totodile,Water,50,65,64,43
Croconaw,Water,65,80,80,58
Feraligatr,Water,85,105,100,78
Sentret,Normal,35,46,34,20
Furret,Normal,85,76,64,90
Hoothoot,Normal,60,30,30,50
Noctowl,Normal,100,50,50,70
Ledyba,Bug,40,20,30,55
Ledian,Bug,55,35,50,85
Spinarak,Bug,40,60,40,30
Ariados,Bug,70,90,70,40
Crobat,Poison,85,90,80,130
Chinchou,Water,75,38,38,67
Lanturn,Water,125,58,58,67
Pichu,Electric,20,40,15,60
Cleffa,Fairy,50,25,28,15
Igglybuff,Normal,90,30,15,15
Togepi,Fairy,35,20,65,20
Togetic,Fairy,55,40,85,40
Natu,Psychic,40,50,45,70
Xatu,Psychic,65,75,70,95
Mareep,Electric,55,40,40,35
Flaaffy,Electric,70,55,55,45
Ampharos,Electric,90,75,85,55
Bellossom,Grass,75,80,95,50
Marill,Water,70,20,50,40
Azumarill,Water,100,50,80,50
Sudowoodo,Rock,70,100,115,30
Politoed,Water,90,75,75,70
Hoppip,Grass,35,35,40,50
Skiploom,Grass,55,45,50,80
Jumpluff,Grass,75,55,70,110
Aipom,Normal,55,70,55,85
Sunkern,Grass,30,30,30,30
Sunflora,Grass,75,75,55,30
Yanma,Bug,65,65,45,95
Wooper,Water,55,45,45,15
Quagsire,Water,95,85,85,35
Espeon,Psychic,65,65,60,110
Umbreon,Dark,95,65,110,65
Murkrow,Dark,60,85,42,91
Slowking,Water,95,75,80,30
Misdreavus,Ghost,60,60,60,85
Unown,Psychic,48,72,48,48
Wobbuffet,Psychic,190,33,58,33
Girafarig,Normal,70,80,65,85
Pineco,Bug,50,65,90,15
Forretress,Bug,75,90,140,40
Dunsparce,Normal,100,70,70,45
Gligar,Ground,65,75,105,85
Steelix,Steel,75,85,200,30
Snubbull,Fairy,60,80,50,30
Granbull,Fairy,90,120,75,45
Qwilfish,Water,65,95,75,85
Scizor,Bug,70,130,100,65
Shuckle,Bug,20,10,230,5
Heracross,Bug,80,125,75,85
Sneasel,Dark,55,95,55,115
Teddiursa,Normal,60,80,50,40
Ursaring,Normal,90,130,75,55
Slugma,Fire,40,40,40,20
Magcargo,Fire,50,50,120,30
Swinub,Ice,50,50,40,50
Piloswine,Ice,100,100,80,50
Corsola,Water,55,55,85,35
Remoraid,Water,35,65,35,65
Octillery,Water,75,105,75,45
Delibird,Ice,45,55,45,75
Mantine,Water,65,40,70,70
Skarmory,Steel,65,80,140,70
Houndour,Dark,45,60,30,65
Houndoom,Dark,75,90,50,95
Kingdra,Water,75,95,95,85
Phanpy,Ground,90,60,60,40
Donphan,Ground,90,120,120,50
Porygon2,Normal,85,80,90,60
Stantler,Normal,73,95,62,85
Smeargle,Normal,55,20,35,75
Tyrogue,Fighting,35,35,35,35
Hitmontop,Fighting,50,95,95,70
Smoochum,Ice,45,30,15,65
Elekid,Electric,45,63,37,95
Magby,Fire,45,75,37,83
Miltank,Normal,95,80,105,100
Blissey,Normal,255,10,10,55
Raikou,Electric,90,85,75,115
Entei,Fire,115,115,85,100
Suicune,Water,100,75,115,85
Larvitar,Rock,50,64,50,41
Pupitar,Rock,70,84,70,51
Tyranitar,Rock,100,134,110,61
Lugia,Psychic,106,90,130,110
Ho-oh,Fire,106,130,90,90
Celebi,Psychic,100,100,100,100
Treecko,Grass,40,45,35,70
Grovyle,Grass,50,65,45,95
Sceptile,Grass,70,85,65,120
Torchic,Fire,45,60,40,45
Combusken,Fire,60,85,60,55
Blaziken,Fire,80,120,70,80
Mudkip,Water,50,70,50,40
Marshtomp,Water,70,85,70,50
Swampert,Water,100,110,90,60
Poochyena,Dark,35,55,35,35
Mightyena,Dark,70,90,70,70
Zigzagoon,Normal,38,30,41,60
Linoone,Normal,78,70,61,100
Wurmple,Bug,45,45,35,20
Silcoon,Bug,50,35,55,15
Beautifly,Bug,60,70,50,65
Cascoon,Bug,50,35,55,15
Dustox,Bug,60,50,70,65
Lotad,Water,40,30,30,30
Lombre,Water,60,50,50,50
Ludicolo,Water,80,70,70,70
Seedot,Grass,40,40,50,30
Nuzleaf,Grass,70,70,40,60
Shiftry,Grass,90,100,60,80
Taillow,Normal,40,55,30,85
Swellow,Normal,60,85,60,125
Wingull,Water,40,30,30,85
Pelipper,Water,60,50,100,65
Ralts,Psychic,28,25,25,40
Kirlia,Psychic,38,35,35,50
Gardevoir,Psychic,68,65,65,80
Surskit,Bug,40,30,32,65
Masquerain,Bug,70,60,62,60
Shroomish,Grass,60,40,60,35
Breloom,Grass,60,130,80,70
Slakoth,Normal,60,60,60,30
Vigoroth,Normal,80,80,80,90
Slaking,Normal,150,160,100,100
Nincada,Bug,31,45,90,40
Ninjask,Bug,61,90,45,160
Shedinja,Bug,1,90,45,40
Whismur,Normal,64,51,23,28
Loudred,Normal,84,71,43,48
Exploud,Normal,104,91,63,68
Makuhita,Fighting,72,60,30,25
Hariyama,Fighting,144,120,60,50
Azurill,Normal,50,20,40,20
Nosepass,Rock,30,45,135,30
Skitty,Normal,50,45,45,50
Delcatty,Normal,70,65,65,70
Sableye,Dark,50,75,75,50
Mawile,Steel,50,85,85,50
Aron,Steel,50,70,100,30
Lairon,Steel,60,90,140,40
Aggron,Steel,70,110,180,50
Meditite,Fighting,30,40,55,60
Medicham,Fighting,60,60,75,80
Electrike,Electric,40,45,40,65
Manectric,Electric,70,75,60,105
Plusle,Electric,60,50,40,95
Minun,Electric,60,40,50,95
Volbeat,Bug,65,73,55,85
Illumise,Bug,65,47,55,85
Roselia,Grass,50,60,45,65
Gulpin,Poison,70,43,53,40
Swalot,Poison,100,73,83,55
Carvanha,Water,45,90,20,65
Sharpedo,Water,70,120,40,95
Wailmer,Water,130,70,35,60
Wailord,Water,170,90,45,60
Numel,Fire,60,60,40,35
Camerupt,Fire,70,100,70,40
Torkoal,Fire,70,85,140,20
Spoink,Psychic,60,25,35,60
Grumpig,Psychic,80,45,65,80
Spinda,Normal,60,60,60,60
Trapinch,Ground,45,100,45,10
Vibrava,Ground,50,70,50,70
Flygon,Ground,80,100,80,100
Cacnea,Grass,50,85,40,35
Cacturne,Grass,70,115,60,55
Swablu,Normal,45,40,60,50
Altaria,Dragon,75,70,90,80
Zangoose,Normal,73,115,60,90
Seviper,Poison,73,100,60,65
Lunatone,Rock,70,55,65,70
Solrock,Rock,70,95,85,70
Barboach,Water,50,48,43,60
Whiscash,Water,110,78,73,60
Corphish,Water,43,80,65,35
Crawdaunt,Water,63,120,85,55
Baltoy,Ground,40,40,55,55
Claydol,Ground,60,70,105,75
Lileep,Rock,66,41,77,23
Cradily,Rock,86,81,97,43
Anorith,Rock,45,95,50,75
Armaldo,Rock,75,125,100,45
Feebas,Water,20,15,20,80
Milotic,Water,95,60,79,81
Castform,Normal,70,70,70,70
Kecleon,Normal,60,90,70,40
Shuppet,Ghost,44,75,35,45
Banette,Ghost,64,115,65,65
Duskull,Ghost,20,40,90,25
Dusclops,Ghost,40,70,130,25
Tropius,Grass,99,68,83,51
Chimecho,Psychic,65,50,70,65
Absol,Dark,65,130,60,75
Wynaut,Psychic,95,23,48,23
Snorunt,Ice,50,50,50,50
Glalie,Ice,80,80,80,80
Spheal,Ice,70,40,50,25
Sealeo,Ice,90,60,70,45
Walrein,Ice,110,80,90,65
Clamperl,Water,35,64,85,32
Huntail,Water,55,104,105,52
Gorebyss,Water,55,84,105,52
Relicanth,Water,100,90,130,55
Luvdisc,Water,43,30,55,97
Bagon,Dragon,45,75,60,50
Shelgon,Dragon,65,95,100,50
Salamence,Dragon,95,135,80,100
Beldum,Steel,40,55,80,30
Metang,Steel,60,75,100,50
Metagross,Steel,80,135,130,70
Regirock,Rock,80,100,200,50
Regice,Ice,80,50,100,50
Registeel,Steel,80,75,150,50
Latias,Dragon,80,80,90,110
Latios,Dragon,80,90,80,110
Kyogre,Water,100,100,90,90
Groudon,Ground,100,150,140,90
Rayquaza,Dragon,105,150,90,95
Jirachi,Steel,100,100,100,100
DeoxysNormal Forme,Psychic,50,150,50,150
DeoxysAttack Forme,Psychic,50,180,20,150
DeoxysDefense Forme,Psychic,50,70,160,90
DeoxysSpeed Forme,Psychic,50,95,90,180
Turtwig,Grass,55,68,64,31
Grotle,Grass,75,89,85,36
Torterra,Grass,95,109,105,56
Chimchar,Fire,44,58,44,61
Monferno,Fire,64,78,52,81
Infernape,Fire,76,104,71,108
Piplup,Water,53,51,53,40
Prinplup,Water,64,66,68,50
Empoleon,Water,84,86,88,60
Starly,Normal,40,55,30,60
Staravia,Normal,55,75,50,80
Staraptor,Normal,85,120,70,100
Bidoof,Normal,59,45,40,31
Bibarel,Normal,79,85,60,71
Kricketot,Bug,37,25,41,25
Kricketune,Bug,77,85,51,65
Shinx,Electric,45,65,34,45
Luxio,Electric,60,85,49,60
Luxray,Electric,80,120,79,70
Budew,Grass,40,30,35,55
Roserade,Grass,60,70,65,90
Cranidos,Rock,67,125,40,58
Rampardos,Rock,97,165,60,58
Shieldon,Rock,30,42,118,30
Bastiodon,Rock,60,52,168,30
Burmy,Bug,40,29,45,36
WormadamPlant Cloak,Bug,60,59,85,36
WormadamSandy Cloak,Bug,60,79,105,36
WormadamTrash Cloak,Bug,60,69,95,36
Mothim,Bug,70,94,50,66
Combee,Bug,30,30,42,70
Vespiquen,Bug,70,80,102,40
Pachirisu,Electric,60,45,70,95
Buizel,Water,55,65,35,85
Floatzel,Water,85,105,55,115
Cherubi,Grass,45,35,45,35
Cherrim,Grass,70,60,70,85
Shellos,Water,76,48,48,34
Gastrodon,Water,111,83,68,39
Ambipom,Normal,75,100,66,115
Drifloon,Ghost,90,50,34,70
Drifblim,Ghost,150,80,44,80
Buneary,Normal,55,66,44,85
Lopunny,Normal,65,76,84,105
Mismagius,Ghost,60,60,60,105
Honchkrow,Dark,100,125,52,71
Glameow,Normal,49,55,42,85
Purugly,Normal,71,82,64,112
Chingling,Psychic,45,30,50,45
Stunky,Poison,63,63,47,74
Skuntank,Poison,103,93,67,84
Bronzor,Steel,57,24,86,23
Bronzong,Steel,67,89,116,33
Bonsly,Rock,50,80,95,10
Mime Jr.,Psychic,20,25,45,60
Happiny,Normal,100,5,5,30
Chatot,Normal,76,65,45,91
Spiritomb,Ghost,50,92,108,35
Gible,Dragon,58,70,45,42
Gabite,Dragon,68,90,65,82
Garchomp,Dragon,108,130,95,102
Munchlax,Normal,135,85,40,5
Riolu,Fighting,40,70,40,60
Lucario,Fighting,70,110,70,90
Hippopotas,Ground,68,72,78,32
Hippowdon,Ground,108,112,118,47
Skorupi,Poison,40,50,90,65
Drapion,Poison,70,90,110,95
Croagunk,Poison,48,61,40,50
Toxicroak,Poison,83,106,65,85
Carnivine,Grass,74,100,72,46
Finneon,Water,49,49,56,66
Lumineon,Water,69,69,76,91
Mantyke,Water,45,20,50,50
Snover,Grass,60,62,50,40
Abomasnow,Grass,90,92,75,60
Weavile,Dark,70,120,65,125
Magnezone,Electric,70,70,115,60
Lickilicky,Normal,110,85,95,50
Rhyperior,Ground,115,140,130,40
Tangrowth,Grass,100,100,125,50
Electivire,Electric,75,123,67,95
Magmortar,Fire,75,95,67,83
Togekiss,Fairy,85,50,95,80
Yanmega,Bug,86,76,86,95
Leafeon,Grass,65,110,130,95
Glaceon,Ice,65,60,110,65
Gliscor,Ground,75,95,125,95
Mamoswine,Ice,110,130,80,80
Porygon-Z,Normal,85,80,70,90
Gallade,Psychic,68,125,65,80
Probopass,Rock,60,55,145,40
Dusknoir,Ghost,45,100,135,45
Froslass,Ice,70,80,70,110
Rotom,Electric,50,50,77,91
RotomHeat Rotom,Electric,50,65,107,86
RotomWash Rotom,Electric,50,65,107,86
RotomFrost Rotom,Electric,50,65,107,86
RotomFan Rotom,Electric,50,65,107,86
RotomMow Rotom,Electric,50,65,107,86
Uxie,Psychic,75,75,130,95
Mesprit,Psychic,80,105,105,80
Azelf,Psychic,75,125,70,115
Dialga,Steel,100,120,120,90
Palkia,Water,90,120,100,100
Heatran,Fire,91,90,106,77
Regigigas,Normal,110,160,110,100
GiratinaAltered Forme,Ghost,150,100,120,90
GiratinaOrigin Forme,Ghost,150,120,100,90
Cresselia,Psychic,120,70,120,85
Phione,Water,80,80,80,80
Manaphy,Water,100,100,100,100
Darkrai,Dark,70,90,90,125
ShayminLand Forme,Grass,100,100,100,100
ShayminSky Forme,Grass,100,103,75,127
Arceus,Normal,120,120,120,120
Victini,Psychic,100,100,100,100
Snivy,Grass,45,45,55,63
Servine,Grass,60,60,75,83
Serperior,Grass,75,75,95,113
Tepig,Fire,65,63,45,45
Pignite,Fire,90,93,55,55
Emboar,Fire,110,123,65,65
Oshawott,Water,55,55,45,45
Dewott,Water,75,75,60,60
Samurott,Water,95,100,85,70
Patrat,Normal,45,55,39,42
Watchog,Normal,60,85,69,77
Lillipup,Normal,45,60,45,55
Herdier,Normal,65,80,65,60
Stoutland,Normal,85,110,90,80
Purrloin,Dark,41,50,37,66
Liepard,Dark,64,88,50,106
Pansage,Grass,50,53,48,64
Simisage,Grass,75,98,63,101
Pansear,Fire,50,53,48,64
Simisear,Fire,75,98,63,101
Panpour,Water,50,53,48,64
Simipour,Water,75,98,63,101
Munna,Psychic,76,25,45,24
Musharna,Psychic,116,55,85,29
Pidove,Normal,50,55,50,43
Tranquill,Normal,62,77,62,65
Unfezant,Normal,80,115,80,93
Blitzle,Electric,45,60,32,76
Zebstrika,Electric,75,100,63,116
Roggenrola,Rock,55,75,85,15
Boldore,Rock,70,105,105,20
Gigalith,Rock,85,135,130,25
Woobat,Psychic,55,45,43,72
Swoobat,Psychic,67,57,55,114
Drilbur,Ground,60,85,40,68
Excadrill,Ground,110,135,60,88
Audino,Normal,103,60,86,50
Timburr,Fighting,75,80,55,35
Gurdurr,Fighting,85,105,85,40
Conkeldurr,Fighting,105,140,95,45
Tympole,Water,50,50,40,64
Palpitoad,Water,75,65,55,69
Seismitoad,Water,105,95,75,74
Throh,Fighting,120,100,85,45
Sawk,Fighting,75,125,75,85
Sewaddle,Bug,45,53,70,42
Swadloon,Bug,55,63,90,42
Leavanny,Bug,75,103,80,92
Venipede,Bug,30,45,59,57
Whirlipede,Bug,40,55,99,47
Scolipede,Bug,60,100,89,112
Cottonee,Grass,40,27,60,66
Whimsicott,Grass,60,67,85,116
Petilil,Grass,45,35,50,30
Lilligant,Grass,70,60,75,90
Basculin,Water,70,92,65,98
Sandile,Ground,50,72,35,65
Krokorok,Ground,60,82,45,74
Krookodile,Ground,95,117,80,92
Darumaka,Fire,70,90,45,50
DarmanitanStandard Mode,Fire,105,140,55,95
DarmanitanZen Mode,Fire,105,30,105,55
Maractus,Grass,75,86,67,60
Dwebble,Bug,50,65,85,55
Crustle,Bug,70,95,125,45
Scraggy,Dark,50,75,70,48
Scrafty,Dark,65,90,115,58
Sigilyph,Psychic,72,58,80,97
Yamask,Ghost,38,30,85,30
Cofagrigus,Ghost,58,50,145,30
Tirtouga,Water,54,78,103,22
Carracosta,Water,74,108,133,32
Archen,Rock,55,112,45,70
Archeops,Rock,75,140,65,110
Trubbish,Poison,50,50,62,65
Garbodor,Poison,80,95,82,75
Zorua,Dark,40,65,40,65
Zoroark,Dark,60,105,60,105
Minccino,Normal,55,50,40,75
Cinccino,Normal,75,95,60,115
Gothita,Psychic,45,30,50,45
Gothorita,Psychic,60,45,70,55
Gothitelle,Psychic,70,55,95,65
Solosis,Psychic,45,30,40,20
Duosion,Psychic,65,40,50,30
Reuniclus,Psychic,110,65,75,30
Ducklett,Water,62,44,50,55
Swanna,Water,75,87,63,98
Vanillite,Ice,36,50,50,44
Vanillish,Ice,51,65,65,59
Vanilluxe,Ice,71,95,85,79
Deerling,Normal,60,60,50,75
Sawsbuck,Normal,80,100,70,95
Emolga,Electric,55,75,60,103
Karrablast,Bug,50,75,45,60
Escavalier,Bug,70,135,105,20
Foongus,Grass,69,55,45,15
Amoonguss,Grass,114,85,70,30
Frillish,Water,55,40,50,40
Jellicent,Water,100,60,70,60
Alomomola,Water,165,75,80,65
Joltik,Bug,50,47,50,65
Galvantula,Bug,70,77,60,108
Ferroseed,Grass,44,50,91,10
Ferrothorn,Grass,74,94,131,20
Klink,Steel,40,55,70,30
Klang,Steel,60,80,95,50
Klinklang,Steel,60,100,115,90
Tynamo,Electric,35,55,40,60
Eelektrik,Electric,65,85,70,40
Eelektross,Electric,85,115,80,50
Elgyem,Psychic,55,55,55,30
Beheeyem,Psychic,75,75,75,40
Litwick,Ghost,50,30,55,20
Lampent,Ghost,60,40,60,55
Chandelure,Ghost,60,55,90,80
Axew,Dragon,46,87,60,57
Fraxure,Dragon,66,117,70,67
Haxorus,Dragon,76,147,90,97
Cubchoo,Ice,55,70,40,40
Beartic,Ice,95,110,80,50
Cryogonal,Ice,70,50,30,105
Shelmet,Bug,50,40,85,25
Accelgor,Bug,80,70,40,145
Stunfisk,Ground,109,66,84,32
Mienfoo,Fighting,45,85,50,65
Mienshao,Fighting,65,125,60,105
Druddigon,Dragon,77,120,90,48
Golett,Ground,59,74,50,35
Golurk,Ground,89,124,80,55
Pawniard,Dark,45,85,70,60
Bisharp,Dark,65,125,100,70
Bouffalant,Normal,95,110,95,55
Rufflet,Normal,70,83,50,60
Braviary,Normal,100,123,75,80
Vullaby,Dark,70,55,75,60
Mandibuzz,Dark,110,65,105,80
Heatmor,Fire,85,97,66,65
Durant,Bug,58,109,112,109
Deino,Dark,52,65,50,38
Zweilous,Dark,72,85,70,58
Hydreigon,Dark,92,105,90,98
Larvesta,Bug,55,85,55,60
Volcarona,Bug,85,60,65,100
Cobalion,Steel,91,90,129,108
Terrakion,Rock,91,129,90,108
Virizion,Grass,91,90,72,108
TornadusIncarnate Forme,Flying,79,115,70,111
TornadusTherian Forme,Flying,79,100,80,121
ThundurusIncarnate Forme,Electric,79,115,70,111
ThundurusTherian Forme,Electric,79,105,70,101
Reshiram,Dragon,100,120,100,90
Zekrom,Dragon,100,150,120,90
LandorusIncarnate Forme,Ground,89,125,90,101
LandorusTherian Forme,Ground,89,145,90,91
Kyurem,Dragon,125,130,90,95
KyuremBlack Kyurem,Dragon,125,170,100,95
KyuremWhite Kyurem,Dragon,125,120,90,95
KeldeoOrdinary Forme,Water,91,72,90,108
KeldeoResolute Forme,Water,91,72,90,108
MeloettaAria Forme,Normal,100,77,77,90
MeloettaPirouette Forme,Normal,100,128,90,128
Genesect,Bug,71,120,95,99
Chespin,Grass,56,61,65,38
Quilladin,Grass,61,78,95,57
Chesnaught,Grass,88,107,122,64
Fennekin,Fire,40,45,40,60
Braixen,Fire,59,59,58,73
Delphox,Fire,75,69,72,104
Froakie,Water,41,56,40,71
Frogadier,Water,54,63,52,97
Greninja,Water,72,95,67,122
Bunnelby,Normal,38,36,38,57
Diggersby,Normal,85,56,77,78
Fletchling,Normal,45,50,43,62
Fletchinder,Fire,62,73,55,84
Talonflame,Fire,78,81,71,126
Scatterbug,Bug,38,35,40,35
Spewpa,Bug,45,22,60,29
Vivillon,Bug,80,52,50,89
Litleo,Fire,62,50,58,72
Pyroar,Fire,86,68,72,106
Flabébé,Fairy,44,38,39,42
Floette,Fairy,54,45,47,52
Florges,Fairy,78,65,68,75
Skiddo,Grass,66,65,48,52
Gogoat,Grass,123,100,62,68
Pancham,Fighting,67,82,62,43
Pangoro,Fighting,95,124,78,58
Furfrou,Normal,75,80,60,102
Espurr,Psychic,62,48,54,68
MeowsticMale,Psychic,74,48,76,104
MeowsticFemale,Psychic,74,48,76,104
Honedge,Steel,45,80,100,28
Doublade,Steel,59,110,150,35
AegislashBlade Forme,Steel,60,150,50,60
AegislashShield Forme,Steel,60,50,150,60
Spritzee,Fairy,78,52,60,23
Aromatisse,Fairy,101,72,72,29
Swirlix,Fairy,62,48,66,49
Slurpuff,Fairy,82,80,86,72
Inkay,Dark,53,54,53,45
Malamar,Dark,86,92,88,73
Binacle,Rock,42,52,67,50
Barbaracle,Rock,72,105,115,68
Skrelp,Poison,50,60,60,30
Dragalge,Poison,65,75,90,44
Clauncher,Water,50,53,62,44
Clawitzer,Water,71,73,88,59
Helioptile,Electric,44,38,33,70
Heliolisk,Electric,62,55,52,109
Tyrunt,Rock,58,89,77,48
Tyrantrum,Rock,82,121,119,71
Amaura,Rock,77,59,50,46
Aurorus,Rock,123,77,72,58
Sylveon,Fairy,95,65,65,60
Hawlucha,Fighting,78,92,75,118
Dedenne,Electric,67,58,57,101
Carbink,Rock,50,50,150,50
Goomy,Dragon,45,50,35,40
Sliggoo,Dragon,68,75,53,60
Goodra,Dragon,90,100,70,80
Klefki,Steel,57,80,91,75
Phantump,Ghost,43,70,48,38
Trevenant,Ghost,85,110,76,56
PumpkabooAverage Size,Ghost,49,66,70,51
PumpkabooSmall Size,Ghost,44,66,70,56
PumpkabooLarge Size,Ghost,54,66,70,46
PumpkabooSuper Size,Ghost,59,66,70,41
GourgeistAverage Size,Ghost,65,90,122,84
GourgeistSmall Size,Ghost,55,85,122,99
GourgeistLarge Size,Ghost,75,95,122,69
GourgeistSuper Size,Ghost,85,100,122,54
Bergmite,Ice,55,69,85,28
Avalugg,Ice,95,117,184,28
Noibat,Flying,40,30,35,55
Noivern,Flying,85,70,80,123
Xerneas,Fairy,126,131,95,99
Yveltal,Dark,126,131,95,99
Zygarde50% Forme,Dragon,108,100,121,95
Diancie,Rock,50,100,150,50
DiancieMega Diancie,Rock,50,160,110,110
HoopaHoopa Confined,Psychic,80,110,60,70
HoopaHoopa Unbound,Psychic,80,160,60,80
Volcanion,Fire,80,110,120,70
